MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...
Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4002.33it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...
Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3578.30it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x2 on all levels): attention_heads=0.1

--- TRAINING MASKS ON FRUITS_1, ANIMALS_1, COLORS_1, METALS_1, VEHICLES_1 (2500 samples) ---
Epoch 1/300 | KL Loss: 0.2447 | Sparsity Loss: 0.7785
Epoch 2/300 | KL Loss: 0.2143 | Sparsity Loss: 2.2691
Epoch 3/300 | KL Loss: 0.3039 | Sparsity Loss: 3.5329
Epoch 4/300 | KL Loss: 0.3734 | Sparsity Loss: 4.0270
Epoch 5/300 | KL Loss: 0.4679 | Sparsity Loss: 3.7061
Epoch 6/300 | KL Loss: 0.4866 | Sparsity Loss: 3.5660
Epoch 7/300 | KL Loss: 0.4899 | Sparsity Loss: 3.4901
Epoch 8/300 | KL Loss: 0.4985 | Sparsity Loss: 3.4636
Epoch 9/300 | KL Loss: 0.4901 | Sparsity Loss: 3.4388
Epoch 10/300 | KL Loss: 0.4878 | Sparsity Loss: 3.4227
Epoch 11/300 | KL Loss: 0.4763 | Sparsity Loss: 3.4114
Epoch 12/300 | KL Loss: 0.4805 | Sparsity Loss: 3.4029
Epoch 13/300 | KL Loss: 0.4889 | Sparsity Loss: 3.3991
Epoch 14/300 | KL Loss: 0.4887 | Sparsity Loss: 3.3943
Epoch 15/300 | KL Loss: 0.4742 | Sparsity Loss: 3.3897
Epoch 16/300 | KL Loss: 0.4965 | Sparsity Loss: 3.3803
Epoch 17/300 | KL Loss: 0.4822 | Sparsity Loss: 3.3736
Epoch 18/300 | KL Loss: 0.4772 | Sparsity Loss: 3.3660
Epoch 19/300 | KL Loss: 0.4906 | Sparsity Loss: 3.3598
Epoch 20/300 | KL Loss: 0.4800 | Sparsity Loss: 3.3543
Epoch 21/300 | KL Loss: 0.4716 | Sparsity Loss: 3.3503
Epoch 22/300 | KL Loss: 0.4829 | Sparsity Loss: 3.3494
Epoch 23/300 | KL Loss: 0.4808 | Sparsity Loss: 3.3479
Epoch 24/300 | KL Loss: 0.4777 | Sparsity Loss: 3.3468
Epoch 25/300 | KL Loss: 0.4801 | Sparsity Loss: 3.3450
Epoch 26/300 | KL Loss: 0.4843 | Sparsity Loss: 3.3436
Epoch 27/300 | KL Loss: 0.4994 | Sparsity Loss: 3.3404
Epoch 28/300 | KL Loss: 0.4871 | Sparsity Loss: 3.3414
Epoch 29/300 | KL Loss: 0.4930 | Sparsity Loss: 3.3401
Epoch 30/300 | KL Loss: 0.4851 | Sparsity Loss: 3.3417
Epoch 31/300 | KL Loss: 0.4718 | Sparsity Loss: 3.3401
Epoch 32/300 | KL Loss: 0.4824 | Sparsity Loss: 3.3379
Epoch 33/300 | KL Loss: 0.5532 | Sparsity Loss: 3.1725
Epoch 34/300 | KL Loss: 0.5589 | Sparsity Loss: 3.1265
Epoch 35/300 | KL Loss: 0.5657 | Sparsity Loss: 3.1196
Epoch 36/300 | KL Loss: 0.5907 | Sparsity Loss: 3.1170
Epoch 37/300 | KL Loss: 0.5861 | Sparsity Loss: 3.1151
Epoch 38/300 | KL Loss: 0.5783 | Sparsity Loss: 3.1148
Epoch 39/300 | KL Loss: 0.5541 | Sparsity Loss: 3.1073
Epoch 40/300 | KL Loss: 0.5797 | Sparsity Loss: 3.1010
Epoch 41/300 | KL Loss: 0.5679 | Sparsity Loss: 3.1003
Epoch 42/300 | KL Loss: 0.5662 | Sparsity Loss: 3.0996
Epoch 43/300 | KL Loss: 0.5640 | Sparsity Loss: 3.0999
Epoch 44/300 | KL Loss: 0.5559 | Sparsity Loss: 3.1004
Epoch 45/300 | KL Loss: 0.5601 | Sparsity Loss: 3.0978
Epoch 46/300 | KL Loss: 0.5612 | Sparsity Loss: 3.0950
Epoch 47/300 | KL Loss: 0.5769 | Sparsity Loss: 3.0953
Epoch 48/300 | KL Loss: 0.5741 | Sparsity Loss: 3.0945
Epoch 49/300 | KL Loss: 0.5868 | Sparsity Loss: 3.0944
Epoch 50/300 | KL Loss: 0.5673 | Sparsity Loss: 3.0935
Epoch 51/300 | KL Loss: 0.5872 | Sparsity Loss: 3.0925
Epoch 52/300 | KL Loss: 0.5666 | Sparsity Loss: 3.0877
Epoch 53/300 | KL Loss: 0.5764 | Sparsity Loss: 3.0869
Epoch 54/300 | KL Loss: 0.5746 | Sparsity Loss: 3.0870
Epoch 55/300 | KL Loss: 0.5632 | Sparsity Loss: 3.0865
Epoch 56/300 | KL Loss: 0.5737 | Sparsity Loss: 3.0886
