epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.4425242642561595,0.7990143882731596,0.0011534923299526174,1.7242579062779744,,,
2,0.1297598605354627,0.2600358227888743,0.004597337373221914,0.4597759544849396,,,
3,0.3566635549068451,0.7225662072499593,0.008010398130863905,1.2777480284372966,,,
4,0.3377403952181339,0.6865768084923426,0.011420665308833122,1.189528077840805,,,
5,0.06604705626765887,0.18046095967292786,0.01485627299795548,0.12691407712797323,,,
6,0.2709660654266675,0.5108826458454132,0.01826910488307476,0.9513691440224648,,,
7,0.07577009747425716,0.194076177974542,0.021664702023069065,0.1367622179289659,,,
8,0.092100294927756,0.22141901155312857,0.02503288723528385,0.18685620825272053,,,
9,0.07268077383438747,0.22565252085526785,0.02836936091383298,0.05592494706312815,,,
10,0.06551305080453555,0.13916508108377457,0.03168459547062715,0.08582496643066406,,,
11,0.0705026959379514,0.12117731819550197,0.03498743722836176,0.11675444742043813,,,
12,0.07017991195122401,0.17995192110538483,0.038312955449024834,0.04045794531702995,,,
13,0.10295718908309937,0.25574689358472824,0.041619947801033653,0.13637157902121544,,,
14,0.13206675151983896,0.28177175919214886,0.044932076086600624,0.2610727498928706,,,
15,0.08794176578521729,0.2276619772116343,0.04821543022990227,0.047561089197794594,,,
16,0.0751781016588211,0.15651200960079828,0.0514763779938221,0.03040279106547435,,,
17,0.0737987533211708,0.13555427392323813,0.05472549920280775,0.02816125564277172,,,
18,0.07729089011748631,0.15375949194033942,0.05795858303705851,0.014669418800622225,,,
19,0.11208505431811015,0.1600359578927358,0.061174023896455765,0.1920582354068756,,,
20,0.07708946615457535,0.11265732099612553,0.06437395513057709,0.024376694733897846,,,
21,0.11327208578586578,0.15423450867335,0.06755523383617401,0.17455990115801492,,,
22,0.08531737824281056,0.10889848073323567,0.07069982588291168,0.045330218970775604,,,
23,0.07840597381194432,0.09311013420422871,0.07382052391767502,0.006912970915436745,,,
24,0.09286226332187653,0.16093408316373825,0.07693809767564137,0.006999253334167103,,,
25,0.08746835837761562,0.11098376909891765,0.08005234350760777,0.011445792857557535,,,
26,0.3364155540863673,0.6169261013468107,0.08314205954472224,0.9134930761841437,,,
27,0.10099264731009801,0.1323523943622907,0.08621156464020412,0.038322522615393005,,,
28,0.1650161618987719,0.16865249474843344,0.08929099887609482,0.35335368911425274,,,
29,0.10539138317108154,0.09807914743820827,0.09238052864869435,0.06864912435412407,,,
30,0.10397922247648239,0.13902400930722555,0.09539506584405899,0.005423363298177719,,,
31,0.11307915051778157,0.10985668748617172,0.09835931410392125,0.07261596620082855,,,
32,0.1137281060218811,0.15594489375750223,0.10131604969501495,0.016297186414400738,,,
33,0.11239732801914215,0.1483903924624125,0.10427516450484593,0.002297131189455589,,,
34,0.1122302661339442,0.12040354311466217,0.10723212112983067,0.015389416832476854,,,
35,0.11785911023616791,0.1286376565694809,0.11017090578873952,0.02546583954244852,,,
36,0.12381857881943385,0.12063602109750111,0.11309928198655446,0.05371640001734098,,,
37,0.11477386951446533,0.09298785775899887,0.11602406700452168,0.01589222368784249,,,
38,0.11699232459068298,0.09162834038337071,0.11893993616104126,0.016182395319143932,,,
39,0.11869249989589055,0.08378219852844875,0.12183573593695958,0.020092186518013477,,,
40,0.12892799327770868,0.0850263312458992,0.12470356374979019,0.06381681933999062,,,
