epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.014208529610186815,0.032836985641292164,0.0059370072558522224,0.13853045872279576,,,
2,0.02752942857997758,0.0306052424545799,0.019785622533942972,0.14405649048941477,,,
3,0.03971279785037041,0.030426999287945882,0.033629582662667544,0.12486687728336879,,,
4,0.05272497768912997,0.026994727019752775,0.04746995972735541,0.1255755935396467,,,
5,0.0657745860517025,0.030539223392094885,0.06130647233554295,0.12012951714651925,,,
6,0.0793721494930131,0.030471824907830784,0.07513835387570518,0.12934245382036483,,,
7,0.09035197964736394,0.031224937045148442,0.08896492528063911,0.08548109872000557,,,
8,0.1612441592982837,0.8823718865002904,0.10278609820774623,0.3895754132952009,,,
9,0.11675792506762914,0.036493794194289615,0.11660052835941315,0.08325471196855817,,,
10,0.12947354252849305,0.034773531769003184,0.1304083445242473,0.07693879944937569,,,
11,0.14263396390846797,0.038293344367827685,0.14420759890760695,0.07444160325186593,,,
12,0.15543115777628763,0.03489512551043715,0.15799816165651595,0.07176307269505092,,,
13,0.16757236208234513,0.035287133284977505,0.17177697164671762,0.05239762578691755,,,
14,0.22331469825335912,0.6727391202002764,0.18554039938109262,0.2682873010635376,,,
15,0.19398081728390285,0.037985477330429215,0.19929058424064092,0.05510987554277692,,,
16,0.206375994852611,0.040299453639558384,0.213034416948046,0.039566602025713236,,,
17,0.21961245579378946,0.04160630756190845,0.2267694558416094,0.0420231819152832,,,
18,0.23197120428085327,0.041544899876628606,0.2404854361500059,0.02865588665008545,,,
19,0.2450371959379741,0.044695827311703136,0.25418796496731894,0.026476774896894182,,,
20,0.25739288330078125,0.04018590998436723,0.26786973220961435,0.018146957669939314,,,
21,0.2705494463443756,0.042932700365781784,0.2815381245953696,0.018832036427089145,,,
22,0.2838655837944576,0.04182618936257703,0.29519119007246836,0.02685305050441197,,,
23,0.29661435740334646,0.044931345752307346,0.3088150790759495,0.019869412694658552,,,
24,0.30977130787713186,0.053193455295903344,0.32241024715559824,0.016438092504228865,,,
25,0.322397197995867,0.04803681480033057,0.33599741544042316,0.0159562315259661,,,
