epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.6947361504038175,0.7990143882731596,0.0011535045535614092,1.7242579062779744,,,
2,0.20133655269940695,0.26028745373090106,0.004597606835886836,0.4597245156764984,,,
3,0.5302680532137553,0.6947740217049917,0.008011169421176115,1.2123530606428783,,,
4,0.5275607605775198,0.6911006371180216,0.011422275565564632,1.197188839316368,,,
5,0.09554520559807618,0.18477158124248186,0.014855367131531239,0.12350137004007895,,,
6,0.4224618896842003,0.5252311105529467,0.01826555406053861,0.962839312851429,,,
7,0.1066210890809695,0.192740668853124,0.021659471715490024,0.13787013664841652,,,
8,0.12284320344527562,0.2182764063278834,0.02502370811998844,0.16245457530021667,,,
9,0.09905876715977986,0.23066718379656473,0.028355440745751064,0.05479125181833903,,,
10,0.08670718719561894,0.13766697545846304,0.0316708671549956,0.09413596987724304,,,
11,0.09165093302726746,0.12995932747920355,0.03498253722985586,0.11109008640050888,,,
12,0.09882130722204845,0.22202239433924356,0.038308137406905494,0.03633363793293635,,,
13,0.12104121098915736,0.2211985637744268,0.04161612316966057,0.10923606033126514,,,
14,0.16935542970895767,0.2746608207623164,0.04493053133289019,0.2227238918033739,,,
15,0.11588268478711446,0.2511864925424258,0.04821288585662842,0.043098390102386475,,,
16,0.10718720406293869,0.16854663689931235,0.05146996552745501,0.0855314526706934,,,
17,0.08646869659423828,0.14012201875448227,0.05472108845909437,0.030044914533694584,,,
18,0.099862905840079,0.20924970507621765,0.05796215310692787,0.0010788122502466042,,,
19,0.10184422632058461,0.09940314541260402,0.0611994539697965,0.10959547758102417,,,
20,0.09772536158561707,0.12333744764328003,0.0644218052426974,0.062188188234965004,,,
21,0.12186171859502792,0.1407561575373014,0.06763978054126103,0.12405429904659589,,,
22,0.09474298606316249,0.11272709319988887,0.07082972427209218,0.045059941398600735,,,
23,0.10052582124869029,0.12057497849067052,0.07400836050510406,0.04986050212755799,,,
24,0.09746161103248596,0.14695111413796744,0.07719205816586812,0.003948406005899112,,,
25,0.09940928717454274,0.13901450981696448,0.08039168268442154,0.01053208609422048,,,
26,0.49025217443704605,0.6524933899442354,0.08357613533735275,0.9099047432343165,,,
27,0.09737075368563335,0.11315884937842687,0.08672918130954106,0.012266953786214193,,,
28,0.11731405804554622,0.09582989911238353,0.08987972388664882,0.09381102522214253,,,
29,0.1258594791094462,0.11288142949342728,0.09302891542514165,0.09953135500351588,,,
30,0.09821090598901112,0.09355461100737254,0.09616549064715703,0.010048747528344393,,,
31,0.1253734976053238,0.11076303074757259,0.09928163141012192,0.08339809688429038,,,
32,0.13252279659112295,0.15221087137858072,0.1023455262184143,0.059870156149069466,,,
33,0.11952789624532063,0.12417582174142201,0.10536147405703862,0.03269990533590317,,,
34,0.11195903271436691,0.10462111483017604,0.10834575692812602,0.01686382293701172,,,
35,0.1258232519030571,0.14452713479598364,0.11133470634619395,0.01949316868558526,,,
36,0.11894773691892624,0.11963978161414464,0.11437180389960606,0.011371759697794914,,,
37,0.11753921955823898,0.10741119583447774,0.11740962912638982,0.010469658096553758,,,
38,0.12374791751305263,0.12421786040067673,0.12043697635332744,0.008258890981475512,,,
39,0.12139834960301717,0.10778938978910446,0.12344881892204285,0.00820317305624485,,,
40,0.12499128778775533,0.0781383862098058,0.12643271187941232,0.0430527632124722,,,
41,0.1258177657922109,0.07732802132765453,0.12938482562700906,0.03908566695948442,,,
42,0.13722563783327738,0.07258501773079236,0.13235551615556082,0.07748001255095005,,,
43,0.1360220561424891,0.08711735407511394,0.13533918062845865,0.050704991444945335,,,
44,0.17743385831514993,0.1236126497387886,0.1383140335480372,0.15695527494729808,,,
45,0.13957738876342773,0.11277383317550023,0.1412863830725352,0.02229801119149973,,,
46,0.1420740932226181,0.11186829457680385,0.14420930544535318,0.024576577668388683,,,
47,0.13835311929384866,0.1137622520327568,0.1470799595117569,0.0015837112441658974,,,
48,0.14565248787403107,0.128354512155056,0.14989977578322092,0.006100567368169625,,,
49,0.1395759383837382,0.10368647674719493,0.15274219711621603,0.0011783996596932411,,,
50,0.14439799884955087,0.10517621537049611,0.15556364258130392,0.009785069152712822,0.98989898989899,0.11849395040366234,5.36911041568024
51,0.14649551113446554,0.08209058145682017,0.15831648310025534,0.0332405169804891,,,
52,0.22864780823389688,0.16897838562726974,0.16106295585632324,0.23784763862689337,,,
53,0.14652244746685028,0.0699100320537885,0.16393815477689108,0.03069827628011505,,,
54,0.9240468541781107,1.0385476350784302,0.16674187779426575,1.882030427455902,,,
55,0.1608744959036509,0.09624056021372478,0.1694808453321457,0.041944462805986404,,,
56,0.16300326585769653,0.12090976287921269,0.17219149569670358,0.017869965483744938,,,
57,0.15475707252820334,0.09490663309892018,0.17490179340044656,0.006741616874933243,,,
58,0.18607565263907114,0.11721927672624588,0.17762643098831177,0.09113158471882343,,,
59,0.1743034819761912,0.14382955183585486,0.18040459851423898,0.014389136185248693,,,
60,0.15829570591449738,0.09270749986171722,0.18313884238402048,9.265344124287367e-05,,,
61,0.16495890418688455,0.09912343323230743,0.18584024409453073,0.010784626007080078,,,
62,0.18184146781762442,0.1200081134835879,0.18854274849096933,0.04416632326319814,,,
63,0.3549824009339015,0.28824928402900696,0.19125900665918985,0.49836746975779533,,,
64,0.1746008942524592,0.07550111288825671,0.1939994990825653,0.047957977590461574,,,
65,0.18927355110645294,0.08747148513793945,0.19670015076796213,0.08222282926241557,,,
66,0.18017150461673737,0.1276623805363973,0.1993775467077891,0.0018749871912101905,,,
67,0.22366994122664133,0.16207841287056604,0.20202199121316275,0.11866338353138417,,,
