nohup: ignoring input

=======================================================
[1/10] Intersecting 'fruits' and 'animals'
=======================================================

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3887.41it/s]
[ep 4 | step 280] KL_a=1.5498 KL_b=0.5109 margin_a=5.398 margin_b=3.922 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=6.882 λcore=6.882 | sparsity=46806.0234 total=46808.9609
[ep 4 | step 290] KL_a=1.4153 KL_b=0.5480 margin_a=6.348 margin_b=3.992 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=6.758 λcore=6.758 | sparsity=44657.0859 total=44660.1406
[ep 4 | step 300] KL_a=1.1303 KL_b=0.5976 margin_a=6.066 margin_b=3.258 acc_a=0.12 acc_b=0.12 | λa=0.000 λb=6.556 λcore=6.556 | sparsity=41986.5586 total=41989.3906
[ep 4 | step 310] KL_a=1.2098 KL_b=0.5275 margin_a=3.875 margin_b=3.438 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=6.633 λcore=6.633 | sparsity=41067.2344 total=41069.7891
[ep 5 | step 320] KL_a=1.8892 KL_b=0.6526 margin_a=2.500 margin_b=6.070 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=6.301 λcore=6.301 | sparsity=37612.3984 total=37615.3164
[ep 5 | step 330] KL_a=0.9625 KL_b=0.5498 margin_a=5.379 margin_b=3.234 acc_a=0.25 acc_b=0.00 | λa=0.000 λb=6.451 λcore=6.451 | sparsity=37024.7500 total=37027.4219
[ep 5 | step 340] KL_a=1.4476 KL_b=0.6052 margin_a=2.086 margin_b=3.289 acc_a=0.25 acc_b=0.12 | λa=0.000 λb=6.265 λcore=6.265 | sparsity=34471.8672 total=34474.1953
[ep 5 | step 350] KL_a=1.3618 KL_b=0.7328 margin_a=2.000 margin_b=4.078 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=5.895 λcore=5.895 | sparsity=31001.3477 total=31003.7969
[ep 5 | step 360] KL_a=1.4268 KL_b=0.5154 margin_a=6.504 margin_b=3.906 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=6.261 λcore=6.261 | sparsity=31380.3906 total=31383.3379
[ep 5 | step 370] KL_a=3.1439 KL_b=0.6143 margin_a=4.727 margin_b=5.055 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=5.967 λcore=5.967 | sparsity=28411.8047 total=28414.9238
