loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 11110.74it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3407.00it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 158.85it/s]Loading weights:  20%|██        | 52/254 [00:00<00:00, 275.84it/s]Loading weights:  34%|███▍      | 87/254 [00:00<00:00, 309.47it/s]Loading weights:  49%|████▉     | 124/254 [00:00<00:00, 333.30it/s]Loading weights:  63%|██████▎   | 161/254 [00:00<00:00, 343.27it/s]Loading weights:  78%|███████▊  | 197/254 [00:00<00:00, 345.73it/s]Loading weights:  91%|█████████▏| 232/254 [00:00<00:00, 339.64it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 328.32it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 279 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 150 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[23:09:03] epoch 32/150 kl=0.0663 task=0.0663 sparsity=2.9915 train_acc=0.9785 gates_open=52.1% (17s) | val acc 1.0000
[23:09:29] epoch 33/150 kl=0.0563 task=0.0563 sparsity=2.9787 train_acc=0.9824 gates_open=51.7% (17s) | val acc 1.0000
[23:09:55] epoch 34/150 kl=0.0018 task=0.0018 sparsity=2.9649 train_acc=1.0000 gates_open=51.4% (17s) | val acc 1.0000
[23:10:22] epoch 35/150 kl=0.0577 task=0.0577 sparsity=2.9506 train_acc=0.9883 gates_open=51.3% (17s) | val acc 1.0000
[23:10:48] epoch 36/150 kl=0.0755 task=0.0756 sparsity=2.9364 train_acc=0.9727 gates_open=50.9% (17s) | val acc 1.0000
[23:11:14] epoch 37/150 kl=0.0418 task=0.0419 sparsity=2.9231 train_acc=0.9902 gates_open=50.4% (17s) | val acc 1.0000
[23:11:40] epoch 38/150 kl=0.0428 task=0.0428 sparsity=2.9092 train_acc=0.9746 gates_open=50.1% (17s) | val acc 1.0000
[23:12:07] epoch 39/150 kl=0.0601 task=0.0602 sparsity=2.8955 train_acc=0.9707 gates_open=49.9% (17s) | val acc 1.0000
[23:12:33] epoch 40/150 kl=0.0178 task=0.0178 sparsity=2.8817 train_acc=0.9922 gates_open=49.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep40.pt | gates open: 349/700 (49.9%)
[23:12:59] epoch 41/150 kl=0.2119 task=0.2120 sparsity=2.8678 train_acc=0.9746 gates_open=49.6% (17s) | val acc 1.0000
[23:13:25] epoch 42/150 kl=0.0096 task=0.0096 sparsity=2.8540 train_acc=1.0000 gates_open=49.6% (17s) | val acc 1.0000
[23:13:52] epoch 43/150 kl=0.1636 task=0.1636 sparsity=2.8403 train_acc=0.9570 gates_open=49.4% (17s) | val acc 1.0000
[23:14:18] epoch 44/150 kl=0.0040 task=0.0040 sparsity=2.8270 train_acc=1.0000 gates_open=49.0% (17s) | val acc 1.0000
[23:14:44] epoch 45/150 kl=0.2556 task=0.2556 sparsity=2.8135 train_acc=0.9688 gates_open=48.7% (17s) | val acc 1.0000
[23:15:10] epoch 46/150 kl=0.0766 task=0.0766 sparsity=2.8010 train_acc=0.9746 gates_open=48.6% (17s) | val acc 1.0000
[23:15:36] epoch 47/150 kl=0.0318 task=0.0318 sparsity=2.7897 train_acc=0.9805 gates_open=48.6% (17s) | val acc 1.0000
[23:16:02] epoch 48/150 kl=0.0129 task=0.0130 sparsity=2.7778 train_acc=0.9941 gates_open=48.3% (17s) | val acc 1.0000
[23:16:28] epoch 49/150 kl=0.1844 task=0.1844 sparsity=2.7658 train_acc=0.9805 gates_open=48.1% (17s) | val acc 1.0000
[23:16:55] epoch 50/150 kl=0.0011 task=0.0010 sparsity=2.7537 train_acc=1.0000 gates_open=47.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep50.pt | gates open: 335/700 (47.9%)
[23:17:21] epoch 51/150 kl=0.0013 task=0.0012 sparsity=2.7416 train_acc=1.0000 gates_open=47.9% (17s) | val acc 1.0000
[23:17:47] epoch 52/150 kl=0.0003 task=0.0003 sparsity=2.7296 train_acc=1.0000 gates_open=47.6% (17s) | val acc 1.0000
[23:18:13] epoch 53/150 kl=0.0005 task=0.0005 sparsity=2.7176 train_acc=1.0000 gates_open=47.4% (17s) | val acc 1.0000
[23:18:39] epoch 54/150 kl=0.0936 task=0.0936 sparsity=2.7057 train_acc=0.9785 gates_open=47.4% (17s) | val acc 1.0000
[23:19:05] epoch 55/150 kl=0.0709 task=0.0708 sparsity=2.6939 train_acc=0.9863 gates_open=47.1% (17s) | val acc 1.0000
[23:19:31] epoch 56/150 kl=0.1413 task=0.1414 sparsity=2.6827 train_acc=0.9668 gates_open=47.0% (17s) | val acc 1.0000
[23:19:58] epoch 57/150 kl=0.0038 task=0.0038 sparsity=2.6718 train_acc=1.0000 gates_open=47.0% (17s) | val acc 1.0000
[23:20:24] epoch 58/150 kl=0.0009 task=0.0008 sparsity=2.6605 train_acc=1.0000 gates_open=46.6% (17s) | val acc 1.0000
[23:20:50] epoch 59/150 kl=0.0044 task=0.0045 sparsity=2.6490 train_acc=0.9980 gates_open=46.3% (17s) | val acc 1.0000
[23:21:16] epoch 60/150 kl=0.0053 task=0.0053 sparsity=2.6375 train_acc=1.0000 gates_open=46.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep60.pt | gates open: 323/700 (46.1%)
[23:21:42] epoch 61/150 kl=0.0031 task=0.0031 sparsity=2.6257 train_acc=1.0000 gates_open=45.9% (17s) | val acc 1.0000
[23:22:08] epoch 62/150 kl=0.0092 task=0.0092 sparsity=2.6139 train_acc=1.0000 gates_open=45.3% (17s) | val acc 1.0000
[23:22:35] epoch 63/150 kl=0.0005 task=0.0004 sparsity=2.6020 train_acc=1.0000 gates_open=45.1% (17s) | val acc 1.0000
[23:23:01] epoch 64/150 kl=0.0051 task=0.0050 sparsity=2.5898 train_acc=0.9980 gates_open=44.9% (17s) | val acc 1.0000
[23:23:27] epoch 65/150 kl=0.0185 task=0.0185 sparsity=2.5781 train_acc=0.9902 gates_open=44.7% (17s) | val acc 1.0000
[23:23:53] epoch 66/150 kl=0.0208 task=0.0208 sparsity=2.5664 train_acc=0.9883 gates_open=44.4% (17s) | val acc 1.0000
[23:24:19] epoch 67/150 kl=0.0276 task=0.0276 sparsity=2.5548 train_acc=0.9922 gates_open=44.3% (17s) | val acc 1.0000
[23:24:45] epoch 68/150 kl=0.1141 task=0.1141 sparsity=2.5432 train_acc=0.9785 gates_open=44.1% (17s) | val acc 1.0000
[23:25:12] epoch 69/150 kl=0.0017 task=0.0016 sparsity=2.5311 train_acc=1.0000 gates_open=44.0% (17s) | val acc 1.0000
[23:25:38] epoch 70/150 kl=0.0048 task=0.0048 sparsity=2.5192 train_acc=1.0000 gates_open=43.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep70.pt | gates open: 307/700 (43.9%)
[23:26:04] epoch 71/150 kl=0.0352 task=0.0352 sparsity=2.5075 train_acc=0.9902 gates_open=43.6% (17s) | val acc 1.0000
[23:26:30] epoch 72/150 kl=0.0024 task=0.0023 sparsity=2.4957 train_acc=1.0000 gates_open=42.9% (17s) | val acc 1.0000
[23:26:56] epoch 73/150 kl=0.0063 task=0.0063 sparsity=2.4839 train_acc=1.0000 gates_open=42.6% (17s) | val acc 1.0000
[23:27:23] epoch 74/150 kl=0.2051 task=0.2051 sparsity=2.4727 train_acc=0.9590 gates_open=42.3% (17s) | val acc 1.0000
[23:27:49] epoch 75/150 kl=0.1459 task=0.1460 sparsity=2.4621 train_acc=0.9727 gates_open=42.0% (17s) | val acc 1.0000
[23:28:15] epoch 76/150 kl=0.1466 task=0.1466 sparsity=2.4510 train_acc=0.9707 gates_open=42.0% (17s) | val acc 1.0000
[23:28:41] epoch 77/150 kl=0.1456 task=0.1456 sparsity=2.4409 train_acc=0.9668 gates_open=41.9% (17s) | val acc 1.0000
[23:29:07] epoch 78/150 kl=0.0856 task=0.0856 sparsity=2.4311 train_acc=0.9863 gates_open=41.7% (17s) | val acc 1.0000
[23:29:33] epoch 79/150 kl=0.0007 task=0.0007 sparsity=2.4211 train_acc=1.0000 gates_open=41.7% (17s) | val acc 1.0000
[23:30:00] epoch 80/150 kl=0.0202 task=0.0202 sparsity=2.4109 train_acc=0.9922 gates_open=41.4% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep80.pt | gates open: 290/700 (41.4%)
[23:30:26] epoch 81/150 kl=0.0036 task=0.0035 sparsity=2.4009 train_acc=1.0000 gates_open=41.1% (17s) | val acc 1.0000
[23:30:52] epoch 82/150 kl=0.0035 task=0.0035 sparsity=2.3906 train_acc=1.0000 gates_open=41.1% (17s) | val acc 1.0000
[23:31:18] epoch 83/150 kl=0.0151 task=0.0150 sparsity=2.3801 train_acc=0.9961 gates_open=40.9% (17s) | val acc 1.0000
[23:31:44] epoch 84/150 kl=0.1404 task=0.1404 sparsity=2.3698 train_acc=0.9648 gates_open=40.6% (17s) | val acc 1.0000
[23:32:11] epoch 85/150 kl=0.0254 task=0.0254 sparsity=2.3600 train_acc=0.9863 gates_open=40.3% (17s) | val acc 1.0000
[23:32:37] epoch 86/150 kl=0.1860 task=0.1860 sparsity=2.3505 train_acc=0.9492 gates_open=40.1% (17s) | val acc 1.0000
[23:33:03] epoch 87/150 kl=0.1176 task=0.1176 sparsity=2.3412 train_acc=0.9629 gates_open=39.3% (17s) | val acc 1.0000
[23:33:29] epoch 88/150 kl=0.0029 task=0.0029 sparsity=2.3326 train_acc=1.0000 gates_open=39.1% (17s) | val acc 1.0000
[23:33:55] epoch 89/150 kl=0.0524 task=0.0524 sparsity=2.3227 train_acc=0.9844 gates_open=38.7% (17s) | val acc 1.0000
[23:34:21] epoch 90/150 kl=0.0059 task=0.0058 sparsity=2.3129 train_acc=0.9980 gates_open=38.7% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep90.pt | gates open: 271/700 (38.7%)
[23:34:48] epoch 91/150 kl=0.0088 task=0.0088 sparsity=2.3028 train_acc=0.9961 gates_open=38.7% (17s) | val acc 1.0000
[23:35:14] epoch 92/150 kl=0.0637 task=0.0637 sparsity=2.2928 train_acc=0.9863 gates_open=38.7% (17s) | val acc 1.0000
[23:35:40] epoch 93/150 kl=0.0650 task=0.0649 sparsity=2.2832 train_acc=0.9746 gates_open=38.4% (17s) | val acc 1.0000
[23:36:06] epoch 94/150 kl=0.0055 task=0.0054 sparsity=2.2741 train_acc=0.9980 gates_open=38.1% (17s) | val acc 1.0000
