loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
fine mode: heads, attn neurons, MLP neurons + MLP blocks active (no attn blocks, no full layers)
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37117.73it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4274.34it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   3%|▎         | 8/254 [00:00<00:03, 78.39it/s]Loading weights:  18%|█▊        | 45/254 [00:00<00:00, 243.48it/s]Loading weights:  32%|███▏      | 81/254 [00:00<00:00, 293.17it/s]Loading weights:  46%|████▌     | 116/254 [00:00<00:00, 314.77it/s]Loading weights:  59%|█████▊    | 149/254 [00:00<00:00, 316.60it/s]Loading weights:  72%|███████▏  | 184/254 [00:00<00:00, 324.53it/s]Loading weights:  85%|████████▌ | 217/254 [00:00<00:00, 321.08it/s]Loading weights:  98%|█████████▊| 250/254 [00:00<00:00, 312.96it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 303.68it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
1500 example pairs total from 1 file(s):
  train_05_step_1_floor.jsonl: 1500

training: 500 epochs, lr=0.03, kl=1.5 (span KL), task=1.0 (margin), lambda_mult=1.0
[13:06:29] epoch 33/500 kl=0.0336 task=2.2658 sparsity=14.4998 train_acc=0.9925 gates_open=4.3% (73s) | val acc 1.0000
[13:08:13] epoch 34/500 kl=0.0212 task=2.2549 sparsity=14.3978 train_acc=0.9960 gates_open=4.2% (73s) | val acc 1.0000
[13:09:57] epoch 35/500 kl=0.0335 task=2.2840 sparsity=14.3084 train_acc=0.9947 gates_open=4.1% (73s) | val acc 1.0000
[13:11:42] epoch 36/500 kl=0.0274 task=2.2463 sparsity=14.2265 train_acc=0.9947 gates_open=4.1% (73s) | val acc 1.0000
[13:13:26] epoch 37/500 kl=0.0099 task=2.2030 sparsity=14.1464 train_acc=1.0000 gates_open=4.0% (73s) | val acc 1.0000
[13:15:10] epoch 38/500 kl=0.0249 task=2.2542 sparsity=14.0701 train_acc=0.9934 gates_open=4.0% (73s) | val acc 1.0000
[13:16:54] epoch 39/500 kl=0.0334 task=2.2821 sparsity=14.0012 train_acc=0.9914 gates_open=3.9% (73s) | val acc 1.0000
[13:18:38] epoch 40/500 kl=0.0299 task=2.2881 sparsity=13.9399 train_acc=0.9927 gates_open=3.9% (73s) | val acc 1.0000
[13:20:22] epoch 41/500 kl=0.0182 task=2.2358 sparsity=13.8827 train_acc=0.9947 gates_open=3.8% (73s) | val acc 1.0000
[13:22:06] epoch 42/500 kl=0.0527 task=2.3314 sparsity=13.8295 train_acc=0.9834 gates_open=3.8% (73s) | val acc 1.0000
