epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.007850579917430878,0.018493551140030224,0.0009892964735627174,0.2569470802942912,,,
2,0.010260258490840593,0.013062029456098875,0.00395210172670583,0.24321633577346802,,,
3,0.011797533991436163,0.017703988278905552,0.006900346527496974,0.18508384625116983,,,
4,0.015338261922200521,0.03756838602324327,0.009826693683862686,0.1927210365732511,,,
5,0.016498614102602005,0.02676876572271188,0.01272772749265035,0.1367943932612737,,,
6,0.018656872833768528,0.030577319984634716,0.015590064538021883,0.10768508662780125,,,
7,0.020300762727856636,0.03749438685675462,0.018401111165682476,0.056892738988002144,,,
8,0.023193604002396267,0.04691665371259054,0.021146067107717197,0.05613089104493459,,,
9,0.026414763182401657,0.07766564811269443,0.02381545677781105,0.05012205553551515,,,
10,0.028020063415169716,0.05970503638188044,0.026405469203988712,0.031284189162154995,,,
11,0.030405889575680096,0.0487395084152619,0.02889160191019376,0.040723564103245735,,,
12,0.03291856621702512,0.07048935443162918,0.03125516325235367,0.027301898847023647,,,
13,0.03510838374495506,0.06057848036289215,0.03349152828256289,0.03758722854157289,,,
14,0.03655728076895078,0.05961412191390991,0.03560020153721174,0.014269232749938965,,,
15,0.03824464480082194,0.05116434643665949,0.03757822637756666,0.01307057379744947,,,
16,0.040021803230047226,0.048914329459269844,0.03942696377635002,0.014306154722968737,,,
17,0.04201442748308182,0.05780534818768501,0.04114153981208801,0.01825170839826266,,,
18,0.08440838505824406,0.5947195117672285,0.04273931806286176,1.1147824017874275,,,
19,0.044987269987662636,0.06023056556781133,0.04424477368593216,0.013714054482989013,,,
20,0.046354507406552635,0.06360878298679988,0.04567085454861323,0.009408156387507915,,,
21,0.04748688141504923,0.058610515048106514,0.04701481262842814,0.007287040546846886,,,
22,0.04839631915092468,0.04873421788215637,0.04826306800047556,0.004858859193821748,,,
23,0.049860190600156784,0.05782465140024821,0.049399069199959435,0.010019271013637384,,,
24,0.05099575345714887,0.05780919765432676,0.05043549959858259,0.015036459856977066,,,
25,0.05211653932929039,0.06300191208720207,0.0513740119834741,0.018073197454214096,,,
26,0.05274743586778641,0.06851978227496147,0.05222652976711591,0.0045429628031949205,,,
27,0.053375620394945145,0.06456532205144565,0.053014193971951805,0.0029059209239979586,,,
28,0.05459451675415039,0.07930341983834903,0.053762062142292656,0.0077567738480865955,,,
29,0.055059279004732765,0.06458744530876477,0.054460508128007255,0.01382383176436027,,,
