granularity,granularity_label,lambda_sparsity,task,seed,num_epochs,training_time_seconds,trainable_gate_params,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,final_train_loss,final_train_kl,final_train_sparsity,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_heads,sparsity_total_sparsity,sparsity_mlp_blocks,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_attention_neurons,sparsity_attention_blocks
attention_heads,Attn Heads,0.96,ioi,42,500,305.42902278900146,145,1.0,3.368740501286192,0.9455292908530318,4.122079251358958,0.6391055044265347,0.5005138746145941,0.054470709146968166,0.26686272237982067,0.5922797960894448,0.2360115796327591,1.0,0.0,85017600,85017600,1.0,77.08333333333334,33,144,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.8321335315704346,0.23601113259792328,,,,,
mlp_blocks,MLP Blocks,0.96,ioi,42,500,305.22999715805054,13,1.0,3.368740501286192,0.9424460431654677,2.750742007625066,0.2463996127632591,0.7738951695786228,0.05755395683453235,0.5932574272155762,0.6240508471216474,0.5821457249777657,1.3845287974485647,27.773261065943995,61405440,85017600,1.2341833556964095,0.0,0,0,0.0,0,0,0.0,0,0,41.66666666666667,7,12,0.0,0,0,0.0,0,0,,0.5821456909179688,6.985748291015625,,,,
mlp_hidden,MLP Hidden,0.96,ioi,42,500,309.04228591918945,36865,1.0,3.368740501286192,0.959917780061665,3.8916460137205524,0.3210996810197524,0.7605344295991778,0.04008221993833505,0.0986379725592477,0.26012720806258066,0.09173278936317988,2.574421411069852,61.1563205736224,33023964,85017600,1.7173214334272444,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,91.76432291666666,3036,36864,0.0,0,0,,0.09173216670751572,,1.1007859706878662,,,
mlp_output,MLP Output,0.96,ioi,42,500,304.24440932273865,9217,1.0,3.368740501286192,0.9157245632065776,2.7310923608699538,0.3690712365138996,0.6742034943473793,0.08427543679342242,0.273202440568379,0.5637788942881993,0.2599551720278604,1.3289461968869205,24.75240891297802,63973696,85017600,1.2035093020199648,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,74.30555555555556,2368,9216,,0.25995489954948425,,,3.1194586753845215,,
attention_neurons,Attn Neurons,0.96,ioi,42,500,304.5281329154968,9217,1.0,3.368740501286192,0.9558067831449126,3.9060659457576237,0.37896109744906425,0.6988694758478932,0.04419321685508737,0.14230459289891378,0.2939135410955974,0.13465389609336853,1.4071661237785016,28.935185185185187,60417600,85017600,1.2463719600667107,0.0,0,0,0.0,0,0,86.80555555555556,1216,9216,0.0,0,0,0.0,0,0,0.0,0,0,,0.1346537321805954,,,,1.6158447265625,
attention_blocks,Attn Blocks,0.96,ioi,42,500,304.29449439048767,13,1.0,3.368740501286192,0.5149023638232272,0.10068035615801443,3.643451425607746,0.07399794450154162,0.4850976361767728,0.34590838636670795,4.8783279827662875,0.08617765669311796,1.4402060782681099,30.565492321589883,59031552,85017600,1.263941616539165,0.0,0,0,91.66666666666666,1,12,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,0.08617737144231796,,,,,1.0341284275054932
all,All (combined),0.96,ioi,42,500,352.2207293510437,55465,1.0,3.368740501286192,0.8848920863309353,3.1937558290769728,0.40282902937815096,0.7317574511819116,0.1151079136690647,0.5376659716878619,0.3275807478598186,0.5451841865267072,2.995651953766716,66.61828491982837,28380333,85017600,1.834643844382931,74.30555555555556,37,144,41.66666666666667,7,12,81.01128472222221,1750,9216,8.333333333333332,11,12,50.71885850694444,18167,36864,42.95789930555556,5257,9216,3.620029926300049,0.5451815724372864,10.968427658081055,7.067625522613525,7.377511024475098,3.194188356399536,7.025286674499512
