epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.1630862457677722,0.6387515533715487,0.004531142588045138,0.0,,,
2,0.1167177315801382,0.42361639874676865,0.014418179945399364,0.0,,,
3,0.0857492876239121,0.27007314655929804,0.024308001932998497,0.0,,,
4,0.08680823352187872,0.24464548534403244,0.034195815989126764,0.0,,,
5,0.04934069545318683,0.06513218147059281,0.044076867091159024,0.0,,,
6,0.09141297824680805,0.20379249410082897,0.05395313911139965,0.0,,,
7,0.14034199000646672,0.3698778171092272,0.06383004536231358,0.0,,,
8,0.07555709034204483,0.08112282864749432,0.07370184424022834,0.0,,,
9,0.08397966126600902,0.08526450923333566,0.0835513745745023,0.0,,,
10,0.10333294048905373,0.13314450376977524,0.09339575034876664,0.0,,,
11,0.10156201819578807,0.09653209211925666,0.10323866022129853,0.0,,,
12,0.11030940463145573,0.10204404530425866,0.11306452316542466,0.0,,,
13,0.1080056553085645,0.06347788932422797,0.12284824314216773,0.0,,,
14,0.2173949802915255,0.4717740121607979,0.13260196521878242,0.0,,,
15,0.1303469929844141,0.0944745020630459,0.14230448876818022,0.0,,,
16,0.16488833849628767,0.2037930010507504,0.15192011619607607,0.0,,,
17,0.13693524276216826,0.06337028602138162,0.16145689537127814,0.0,,,
18,0.18075231090188026,0.21050389235218367,0.1708351162572702,0.0,,,
19,0.1835119997461637,0.19414115278050303,0.17996894816557565,0.0,,,
20,0.16383844489852586,0.08840543621530135,0.18898278350631395,0.0,,,
21,0.1646293650070826,0.06470897483328979,0.1979361561437448,0.0,,,
22,0.23856008301178613,0.3334483822497229,0.20693065226078033,0.0,,,
23,0.20726660763223967,0.18133648671209812,0.21590997775395712,0.0,,,
24,0.21908205995957056,0.2014517681673169,0.22495882585644722,0.0,,,
25,0.1966559812426567,0.08457013654212157,0.23401792844136557,0.0,,,
26,0.23996346816420555,0.2306752980997165,0.24305952588717142,0.0,,,
27,0.20468653614322344,0.06275184949239095,0.2519981029133002,0.0,,,
28,0.21187364806731543,0.06494027624527614,0.2608514353632927,0.0,,,
29,0.21697212010622025,0.05898052702347437,0.2696359803279241,0.0,,,
30,0.2702113414804141,0.24666506641854843,0.2780601034561793,0.0,,,
31,0.2260856901605924,0.04644625525300702,0.2859655022621155,0.0,,,
32,0.2336697777112325,0.05509591707959771,0.29319439580043155,0.0,,,
33,0.24136821553111076,0.06524206697940826,0.3000769317150116,0.0,,,
