epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.9743836641311645,0.44475261569023133,0.37996705174446105,3.4317827224731445,,,
2,1.508768343925476,0.2164468139410019,1.3297971606254577,2.1661221981048584,,,
3,2.4726329326629637,0.4843227073550224,2.279544401168823,2.931036949157715,,,
4,3.2339272499084473,0.4235174357891083,3.2292516231536865,2.833238649368286,,,
5,4.011790943145752,0.35620872378349305,4.178935432434082,2.8395241498947144,,,
6,4.834217739105225,0.42932973653078077,5.128563022613525,2.967791271209717,,,
7,5.580254077911377,0.3564434558153152,6.078122901916504,2.7930397748947144,,,
8,6.447847652435303,0.6445895865559578,7.0275805473327635,2.972798299789429,,,
9,7.19413194656372,0.7156195849180221,7.976881504058838,2.656853699684143,,,
10,7.850731945037841,0.3018218636512756,8.925970077514648,2.29921875,,,
11,8.75956325531006,0.4189534693956375,9.874807357788086,2.8955965995788575,,,
12,9.378004264831542,0.22588657960295677,10.823316192626953,2.0955965995788572,,,
13,10.383627700805665,0.4145073026418686,11.771434020996093,3.193359375,,,
14,11.260505104064942,0.6590725034475327,12.719183158874511,3.4796520233154298,,,
15,11.713956260681153,0.22343722879886627,13.666598892211914,1.95703125,,,
16,12.644696044921876,0.37673208117485046,14.613534927368164,2.6553977489471436,,,
17,13.686930656433105,0.7478629797697067,15.55997371673584,3.794211673736572,,,
18,13.98620834350586,0.2215433672070503,16.505812454223634,1.4630681812763213,,,
19,14.926141548156739,0.33587220013141633,17.45086669921875,2.263671875,,,
20,15.670182037353516,0.2833632081747055,18.395121383666993,2.0827059745788574,,,
21,16.4751220703125,0.37528318613767625,19.3383487701416,2.1205610752105715,,,
22,17.09026756286621,0.18616380095481871,20.280427169799804,1.3286221742630004,,,
23,18.16270523071289,0.5877003461122513,21.221299362182616,2.641867923736572,,,
24,18.992210388183594,0.6535066962242126,22.16085014343262,2.868288350105286,,,
25,19.50144157409668,0.22579843401908875,23.098828506469726,1.7119318485260009,,,
26,20.215216064453124,0.2749412268400192,24.03495216369629,1.2909801125526428,,,
27,21.137355422973634,0.31835478246212007,24.96891632080078,2.1119673371315004,,,
28,21.740960311889648,0.202445450425148,25.900432586669922,1.2305042743682861,,,
29,22.63825569152832,0.488818895816803,26.829059219360353,1.6884588241577148,,,
30,23.304875946044923,0.29963110387325287,27.75457344055176,1.2802556812763215,,,
31,24.23764877319336,0.6442265093326569,28.676755905151367,1.920134949684143,,,
32,24.889946746826173,0.2965202957391739,29.595000076293946,1.621697449684143,,,
33,25.76844596862793,0.6874301344156265,30.508706665039064,1.9373934745788575,,,
