MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...
Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3330.13it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...
Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3101.35it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.5348 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.3073 | Sparsity Loss: 0.2349
Epoch 3/600 | KL Loss: 0.3231 | Sparsity Loss: 0.3923
Epoch 4/600 | KL Loss: 0.2616 | Sparsity Loss: 0.5497
Epoch 5/600 | KL Loss: 0.3476 | Sparsity Loss: 0.7069
Epoch 6/600 | KL Loss: 0.2963 | Sparsity Loss: 0.8634
Epoch 7/600 | KL Loss: 0.2807 | Sparsity Loss: 1.0189
Epoch 8/600 | KL Loss: 0.2960 | Sparsity Loss: 1.1722
Epoch 9/600 | KL Loss: 0.3070 | Sparsity Loss: 1.3235
Epoch 10/600 | KL Loss: 0.2703 | Sparsity Loss: 1.4719
Epoch 11/600 | KL Loss: 0.2339 | Sparsity Loss: 1.6172
Epoch 12/600 | KL Loss: 0.2917 | Sparsity Loss: 1.7608
Epoch 13/600 | KL Loss: 0.2295 | Sparsity Loss: 1.9012
Epoch 14/600 | KL Loss: 0.1681 | Sparsity Loss: 2.0395
Epoch 15/600 | KL Loss: 0.3602 | Sparsity Loss: 2.1754
Epoch 16/600 | KL Loss: 0.1758 | Sparsity Loss: 2.3084
Epoch 17/600 | KL Loss: 0.4084 | Sparsity Loss: 2.3503
Epoch 18/600 | KL Loss: 0.5734 | Sparsity Loss: 2.3346
Epoch 19/600 | KL Loss: 0.5210 | Sparsity Loss: 2.3228
Epoch 20/600 | KL Loss: 0.5352 | Sparsity Loss: 2.3107
Epoch 21/600 | KL Loss: 0.5302 | Sparsity Loss: 2.2969
Epoch 22/600 | KL Loss: 0.3843 | Sparsity Loss: 2.2787
Epoch 23/600 | KL Loss: 0.3842 | Sparsity Loss: 2.2596
Epoch 24/600 | KL Loss: 0.4072 | Sparsity Loss: 2.2452
Epoch 25/600 | KL Loss: 0.3332 | Sparsity Loss: 2.2319
Epoch 26/600 | KL Loss: 0.2806 | Sparsity Loss: 2.2188
Epoch 27/600 | KL Loss: 0.3036 | Sparsity Loss: 2.2078
Epoch 28/600 | KL Loss: 0.3147 | Sparsity Loss: 2.1978
Epoch 29/600 | KL Loss: 0.2492 | Sparsity Loss: 2.1888
Epoch 30/600 | KL Loss: 0.3432 | Sparsity Loss: 2.1801
Epoch 31/600 | KL Loss: 0.3559 | Sparsity Loss: 2.1722
Epoch 32/600 | KL Loss: 0.3318 | Sparsity Loss: 2.1643
Epoch 33/600 | KL Loss: 0.2918 | Sparsity Loss: 2.1549
Epoch 34/600 | KL Loss: 0.3936 | Sparsity Loss: 2.1461
Epoch 35/600 | KL Loss: 0.3988 | Sparsity Loss: 2.1396
Epoch 36/600 | KL Loss: 0.3098 | Sparsity Loss: 2.1322
Epoch 37/600 | KL Loss: 0.3482 | Sparsity Loss: 2.1257
Epoch 38/600 | KL Loss: 0.3972 | Sparsity Loss: 2.1195
Epoch 39/600 | KL Loss: 0.3471 | Sparsity Loss: 2.1148
Epoch 40/600 | KL Loss: 0.3736 | Sparsity Loss: 2.1111
Epoch 41/600 | KL Loss: 0.4144 | Sparsity Loss: 2.1062
Epoch 42/600 | KL Loss: 0.3185 | Sparsity Loss: 2.1009
Epoch 43/600 | KL Loss: 0.3523 | Sparsity Loss: 2.0979
Epoch 44/600 | KL Loss: 0.3258 | Sparsity Loss: 2.0919
Epoch 45/600 | KL Loss: 0.3982 | Sparsity Loss: 2.0861
Epoch 46/600 | KL Loss: 0.3848 | Sparsity Loss: 2.0818
Epoch 47/600 | KL Loss: 0.4794 | Sparsity Loss: 2.0711
Epoch 48/600 | KL Loss: 0.5800 | Sparsity Loss: 2.0510
Epoch 49/600 | KL Loss: 0.6542 | Sparsity Loss: 2.0278
Epoch 50/600 | KL Loss: 0.6609 | Sparsity Loss: 2.0197
Epoch 51/600 | KL Loss: 0.6578 | Sparsity Loss: 2.0165
Epoch 52/600 | KL Loss: 0.7417 | Sparsity Loss: 2.0048
Epoch 53/600 | KL Loss: 0.6733 | Sparsity Loss: 1.9898
Epoch 54/600 | KL Loss: 0.7252 | Sparsity Loss: 1.9761
Epoch 55/600 | KL Loss: 0.6427 | Sparsity Loss: 1.9672
Epoch 56/600 | KL Loss: 0.6663 | Sparsity Loss: 1.9731
Epoch 57/600 | KL Loss: 0.6731 | Sparsity Loss: 1.9746
Epoch 58/600 | KL Loss: 0.6920 | Sparsity Loss: 1.9740
Epoch 59/600 | KL Loss: 0.6808 | Sparsity Loss: 1.9693
Epoch 60/600 | KL Loss: 0.6664 | Sparsity Loss: 1.9548
Epoch 61/600 | KL Loss: 0.6805 | Sparsity Loss: 1.9402
Epoch 62/600 | KL Loss: 0.6884 | Sparsity Loss: 1.9322
Epoch 63/600 | KL Loss: 0.7970 | Sparsity Loss: 1.9308
Epoch 64/600 | KL Loss: 0.7290 | Sparsity Loss: 1.9276
Epoch 65/600 | KL Loss: 0.6830 | Sparsity Loss: 1.9255
