epoch,avg_loss,avg_kl_loss,avg_sparsity_loss,avg_task_loss,val_accuracy,val_kl_div,val_logit_diff
1,0.07517855148762465,0.8946366935436215,0.00594241005767669,0.4960284573691232,,,
2,0.033560892567038536,0.07302861394626754,0.01979714765080384,0.22204344613211496,,,
3,0.0434110446700028,0.041123803172792704,0.0336593644959586,0.18756915841783797,,,
4,0.055594375623123984,0.02588484063744545,0.04753458287034716,0.1828456265585763,,,
5,0.07653927643384252,0.08643320522138051,0.06141549881015505,0.27745786734989714,,,
6,0.08295977647815432,0.04037756738918168,0.0753128666962896,0.18787353379385813,,,
7,0.0948319850223405,0.04838600754737854,0.08921262941190175,0.1532137734549386,,,
8,0.1641474791935512,0.8906673437782696,0.10310787494693484,0.43323261397225515,,,
9,0.15493646902697428,0.5272291068519864,0.11699543254716056,0.34858707019260954,,,
10,0.1401402907712119,0.08009526718940053,0.13087344063179834,0.23611525126865932,,,
11,0.14707631724221365,0.04778148766074862,0.14476226270198822,0.14326187542506627,,,
12,0.15963546080248697,0.03256310735430036,0.15866177209786006,0.14557249205453054,,,
13,0.1718415766954422,0.038897612265178134,0.17255051008292607,0.11947430883135114,,,
14,0.23119537319455827,0.6776948076273713,0.1864348522254399,0.40395050389426096,,,
15,0.19745750299521855,0.012309887579509191,0.20031819811889104,0.13079445702689035,,,
16,0.21108492570263998,0.016804330849221776,0.21418349657739913,0.13540780544281006,,,
17,0.22373756766319275,0.012537242046424322,0.22803117547716414,0.1296218122754778,,,
18,0.23871553369930812,0.020617089101246426,0.24185423340116227,0.1584632396697998,,,
19,0.25320546329021454,0.043712289205619266,0.2556650596005576,0.16276093891688756,,,
20,0.3083829326289041,0.5867814336504255,0.2694866018635886,0.46063174520220074,,,
21,0.2799422485487802,0.054947615201984136,0.2833113287176405,0.16098225116729736,,,
22,0.2975585843835558,0.06112427370888846,0.29712145243372234,0.2447397538593837,,,
23,0.3046855628490448,0.04225366136857441,0.3108979676451002,0.14439620290483748,,,
